인덱스,코드,구분,FAQ 답변 ,FAQ  질문 ,tag,link_url_adr
112,,113,"상장종목의 경우 20일 동안 신용 매수가 불가합니다. 단, 당사 IPO종목의 경우 3개월 동안 신용매수가 불가 합니다.",Q3. 상장 종목도 상장일에 신용 매수가 가능한가요?,,
113,,113,이글오피스 전자결재 > 작성 > 양식함- 전산 >  ‘Eagle Pro 사용자 권한 신청’  > 기타란에 요청사항 작성 후 신청하면 됩니다,Q3. 종합영업직으로 직군을 변경 하고 싶습니다. 어떻게 신청해야 되나요?,,
114,,113,"[11205]고객별 미수동결현황 화면 or [12149] 실질잔고(체결기준) > 기타 탭을 확인하시면 미수동결 여부 및 미수동결 등록일을 조회 할 수 있으며, 타사에서 미수동결로 지정된 계좌는 [11219]신용정보집중등록내역 화면에서 조회가 가능합니다.",Q4. 미수 동결이 언제부터 등록되었는지 조회 할 수 있는 화면이 있나요?,,
115,,113,‘[39019] 수익증권 담보대출 비율관리’ 화면에서 대출 가능 여부를 확인 할 수 있습니다.,Q4. 수익증권 대출 가능 여부는 어느 화면에서 조회 가능한가요?,,
116,,113,"
네, 없습니다. 대결자 지정시 사원은 불가하며 매니저 이상 지정이 가능합니다
",Q4. 업무팀장 휴가로 대결자 지정시 대결자를 텔러로 지정할 순 없나요?,,
117,,113,"미수계좌가 영업점에서 대출 신청시 실시간으로 승인 처리가 되지만, 온라인에서 대출 신청시 업무팀장이 ‘[91017] 책임자승인처리및요청현황 > 미수계좌온라인대출 탭에서 신청내역 확인 후 승인 처리를 해야지만 대출금이 입금 됩니다.",Q5. 미수계좌가 영업점 or 온라인에서 대출 신청시 영업점에서 승인처리를 해야하나요?,,
118,,113,"
일일점검일지등록 담당자 변경은 컴플라이언스파트로 문의하여 변경 가능합니다.",Q5. 업무팀장 휴가시 대결자로 지정된 사람이 ‘일일점검일지 등록’ 을 할 수 없는데요 이런 경우 어떻게 해야 되나요?,,
119,,113,"네, 상환차손이 발생하는 경우 매도결제일에 상환차손 금액 만큼 미수가 발생되어 익영업일에 반대매매 처리 됩니다 ","Q5. 융자금/대출금을 매도상환 하였으나, 상환차손이 발생한 경우 반대매매가 나가나요?",,
120,,113,아닙니다. 국내주식형 ETF를 제외한 기타 ETF에 대해서만 과세됩니다  P37,Q1. ETF거래시 모든 종목이 과세 대상인가요?,,
121,,113,- 매월 14일에 고객등급을 기준으로 15일에 변경 됩니다,Q1. 기본예탁금은 언제 변경 되나요?,,
122,,113,기 담보대출 종목을 고객이 지정한 종목으로 대출종목을 교체하는 업무입니다,Q1. 담보교체 업무란 무엇인가요?,,
123,,113,"아니오, 신용/대출 종목 내에서만 반대매매가 나갑니다.",Q1. 담보부족으로 인한 반대매매 발생시 신용/대출 종목 외 현물 주식으로도 반대매매가 나가나요?,,
124,,113,"ㄱ. 위탁계좌 담보비율 =
  a. 담보증권평가금: 주식담보평가금+채권담보평가금+ELS담보평가금
  b. 주식기준가: 장종료전까진 직전 영업일 종가를, 장종료 종가반영후엔 당일 종가를 적용
  c. 채권기준가: 4개이상의 채권평가회사가 제공하는 가격정보를 기초로 산정된 가격
  d. ELS기준가: 2개이상의 채권평가회사가 제공하는 가격정보를 기초로 산정된 가격
ㄴ. 수익증권계좌 담보비율 = 세전평가금액/담보대출금 x 100
 (상세) http://172.30.220.65:8090/wiki/pages/viewpage.action?pageId=23071157",Q1. 담보비율은 어떻게 계산하나요?,,
125,,113,"- 대용 증거금 100% 입니다. 수수료, 거래세 제비용은 현금으로 징수합니다
  대용이 없는 경우, 현금으로 징수합니다",Q1. 대주 거래시 증거금율은 어떻게 되나요?,,
126,,113,- ‘[39019] 수익증권 담보대출 비율관리’ 에서 조회 가능합니다,Q1. 대출가능한 펀드종목을 조회 할 수 있는 화면이 있나요 ?,,
127,,113," - 매도담보대출 약정등록이 안되어 있거나, 전일 또는 당일 매수된 종목을 매도한 경우입니다. 매도담보대출은 결제 완료된 종목을 매도한 대금에 대해서 대출신청이 가능합니다.    ",Q1. 매도대금이 있는데 담보대출 가능금액이 확인되지 않는  이유는 무엇입니까?,,
128,,113,네.미수 발생일 당일 22시까지 입금한 경우 미수동결계좌로 지정되지 않습니다.,Q1. 미수 발생 당일 미수금을 입금하면 미수동결계좌로 지정이 안되나요?,,
129,,113,"- 결제일까지 결제대금을 납부하지 않은 경우, 30일간 미수거래를 할 수 없도록 하는 제도입니다",Q1. 미수동결계좌 제도란 무엇인가요?,,
130,,113,"- [21114], [21115] 화면에서 조회 가능하며, 반대매매 실행전까지 실시간으로 추가증거금 해소여부를 확인할 수 있습니다.",Q1. 반대매매 대상계좌 및 추가증거금 해소 여부를 조회할 수 있는 화면은 어떻게 되나요?,,
131,,113, - 장종료 시점에 계좌의 예탁금액이 유지증거금액 보다 적은 경우에 추가증거금이 발생 합니다,Q1. 선물옵션 계좌에 추가증거금은 어떤 경우에 발생되나요?,,
132,,113,신규주문위탁증거금 + 순위험위탁증거금 + 결제예정금액의 합산 입니다.,Q1. 선물옵션 위탁증거금 구성 체계는 어떻게 되나요?,,
133,,113,- [12229] 대출종합 > 담보대출 > 대출잔고 탭에서 현금상환 처리 가능 합니다.,Q1. 수익증권 담보대출 현금상환 처리 화면은 어떻게 되나요?,,
134,,113," - 원칙적으로 매수청구는 현금잔고만 가능합니다. 따라서 신용잔고를 매수청구 신청시 자동으로 현금상환 처리되면서, 현금잔고로 변경된 후 신청 됩니다. 이때, 자동 현금상환시 예수금잔고가 부족할 경우, 기타대여금이 발생됩니다.",Q1. 신용잔고수량에 대해서도 주식매수청구 신청이 가능 한가요?,,
135,,113,이글오피스 전자결재 > 작성 > 양식함- 전산 >  ‘Eagle Pro 사용자 권한 신청’ O13> 발령유예로 신청하면 됩니다.,Q1. 인사발령시 인수인계 등 업무처리로 몇일간 기존 지점에 머물고 싶은데요. 이런 경우에 어떻게 해야 되나요?,,
136,,113,"신용주식에 대한 반대매매수량을 최소화 하기 위해, 고객계좌에 예수금이 있는
  경우, 전산에서 자동으로 현금상환 처리하는 업무 입니다",Q1. 자동현금상환 업무는 무엇인가요?,,
137,,113,"- 주식관련사채, 일반채권의 경우 액면 천원 단위로 원의 자릿수까지 입력합니다 
(예시: 액면수량 155,000원 매수 주문 접수시, 매수수량 란에 ‘155,000’ 입력)",Q1. 장내채권 주문화면에서 주문수량 입력은 어떻게 하나요?,,
138,,113,"매수는 ‘[21050] 장내채권 매수’ 화면, 매도는 ‘[21049] 장내채권 매도’ 화면에서 매매를 할 수 있습니다.",Q1. 장내채권은 어느 화면에서 매수 / 매도 처리 하나요?,,
139,,113,[12297] 종목별회사전체대출한도관리 화면에서 조회가능 합니다.,Q1. 종목별 대출 한도는 어느 화면에서 확인 할 수 있나요?,,
140,,113," - 종합매매계좌에 예탁되어 있는 수도결제가 완료 된 종목 중, 당사의 담보대출 가능한 종목이 대출 가능합니다.",Q1. 주식 담보대출 가능한 종목은 어떻게 되나요?,,
141,,113,- [12229] 대출종합 화면 또는 [12168]현금상환 처리 화면입니다,Q1. 주식담보대출 현금상환을 처리하는 화면번호는 어떻게 되나요?,,
142,,113,"불가합니다. 청약 초일 전일까지 개설된 계좌에 한해 청약이 가능합니다.
",Q1. 청약일 당일 계좌개설 후 청약이 가능한가요?,,
143,,113,"채권은 당일결제이므로 출금가능금액을 1만원분의 주문단가로 나누어 계산합니다 
 (주문가능 수량 = (출금가능금액 / 주문가격 X 1만원 ))",Q2 채권 주문가능수량은 어떻게 계산하나요?,,
144,,113,- ‘[21427] ETF 종목별 일자별 과세정보 조회’ 화면에서 조회 가능합니다,Q2. 과세대상 ETF를 조회할 수 있는 화면이 있나요?,,
145,,113," - 선물옵션 계좌개설 이후, 최초 주문접수시 또는 미결제잔고 전량 청산 후 거래 재개시 납부하면 됩니다.",Q2. 기본예탁금은 언제 납부하면 되나요?,,
146,,113,이글오피스 전자결재 > 작성 > 양식함- 전산 >  ‘Eagle Pro 사용자 권한 신청’ > 파견으로 신청하면 됩니다.  ,Q2. 다른지점에 파견을 갈려고 합니다. 어떻게 신청해야 되나요?,,
147,,113,"고객이 보유중인 잔고 중, 주식담보대출이 가능한 종목입니다. 단. 당사가 허용한 경우에 한해서 교체 가능합니다",Q2. 담보교체 가능 종목은 어떻게 되나요?,,
148,,113,"- 신용계좌 기본형으로 융자매수 주문 시 신용매수 약정금액의
 10%를 상환 시까지 확보하는 금액인데, 대용으로 징수하면 ‘담보대용’, 현금으로 징수하면 ‘담보현금’으로 표현합니다",Q2. 담보대용 및 담보현금은 어떤 경우에 발생 되나요?,,
149,,113,"- [12174, 12282] 화면에서 담보대출 가능한 종목을 확인할 수 있습니다",Q2. 담보대출 가능한 종목을 조회할 수 있는 화면이 있나요?,,
150,,113,"- [12233] 화면에서 담보좌수를 포함한 잔고좌수 전체를 매도하면 됩니다.
 해당 화면에 “환매가능좌수”가 계좌의 전체 잔고좌수 입니다.",Q2. 담보대출 펀드 전체를 환매할려면 어떻게 해야하나요?,,
151,,113,"- 익일반대매매 대상조회 화면은 특정시간에 업데이트 하므로 발생하는 현상입니다 
 실시간으로 충족여부 확인은 [12236] 혹은 [12149]에서 조회 가능합니다",Q2. 담보충족 계좌가 익일 반대매매대상조회 화면에서 계속 담보부족으로 조회되는 경우가 있는데 그 이유는 무엇인가요?,,
152,,113,- ‘[12173] 대주 가능 종목 조회’ 입니다,Q2. 대주 가능 종목 및 가능수량을 조회할 수 있는 화면이 있나요?,,
153,,113,"- 매도담보대출 가능금액의 다음의 산식을 기준으로 산출되고 있습니다. 
 전일 매도담보대출가능금액 
: Min [(전일 결제유가증권 매도금액 ? 전일 매도담보대출금액), 금일 주문가능현금, 전일 주문가능현금] x 98%
 당일 매도담보대출가능금액
: Min [(금일 결제유가증권 매도금액 - 금일매도담보대출금액), 주문가능현금] x 98%",Q2. 매도담보대출 가능금액은 어떻게 산출 되나요?,,
154,,113,"- 미수금이 10만원이하 소액인 경우, 미수동결계좌로 지정되지 않습니다","Q2. 미수금 잔액이 있는데 미수동결계좌로 지정되지
 않은 이유는 무엇 인가요",,
155,,113," - 아닙니다, 사후증거금 계좌는 순위험증거금 +결제예정현금의 합산입니다",Q2. 사후증거금계좌의 위탁증거금 구성체계도 동일합니까?,,
156,,113,- 추가증거금 발생일 익영업일 12시에 실행됩니다.,Q2. 선물옵션 반대매매 실행은 언제 되나요?,,
157,,113, - 세금우대등 절세형 펀드는 제한됩니다. ,Q2. 수익증권 대출시 추가대출이 제한되는 펀드가 있나요?,,
158,,113,네. 증권거래세 0.5%가 징수됩니다.,Q2. 주식매수청구 신청시 수수료가 있나요?,,
159,,113,채권 수량은 “원” 단위로 표기 합니다.,Q2. 채권 수량 단위는 어떻게 되나요?,,
160,,113,위탁증거금 까지 납부해야 합니다,Q2. 추가증거금 발생시 납부대상 금액은 어떻게 되나요?,,
161,,113,"아닙니다. 예수금에서 증거금적 요소를 차감한 출금가능금액 범위 내에서 가능 합니다. 다만, 현금상환시에는 담보현금과 추가담보현금은 차감하지 않습니다
 [12454]에서 출금가능금액 구분 값을 ’03.상환가능금액’ 선택 후 조회 가능합니다",Q2. 현금상환 처리시 예수금 범위 내에서 상환 가능한가요?,,
162,,113,"  - 과표증분과 매매차익을 비교하여 적은 값으로
 과표를 확정하여 계산합니다 ",Q3. ETF보유기간 과세시 세금계산은 어떻게 하나요?,,
163,,113, - 현금 또는 위탁계좌 유가증권을 지정하여 대용증권으로도 납부 가능 합니다.   ,Q3. 기본예탁금은 현금으로만 납부 가능한가요?,,
164,,113,"  - 담보현금과 추가담보현금은 증거금적 요소로 출금가능금액 계산시 차감하지만
 현금상환은 대출금 잔액을 줄여주기 때문에 가능합니다","Q3. 담보현금과 추가담보현금으로 징수한 금액에 대해 현금상환이 가능한 이유는
 무엇 인가요?",,
165,,113,- 신용대주는 60일 이며 만기연장은 불가합니다,Q3. 대주 기간은 어떻게 되나요? 만기연장도 가능한가요?,,
166,,113,- [12229] 대출종합화면의 매도담보대출의 대출잔고 탭에서 상환처리 가능 합니다.,Q3. 매도담보대출 현금상환 처리 화면은 어떻게 되나요?,,
167,,113,"- 네 가능 합니다. 다만, 온라인에서 대출 신청시에는 [91017] 화면의 “미수계좌온라인대출”탭에서 업무팀장 승인 완료 후, 대출금이 계좌로 입금됩니다. 
또한, 온라인 대출승인 요청은 신청 당일만 유효하며, 미승인시 자동취소 됩니다.",Q3. 미수계좌도 대출 신청이 가능한가요?,,
